"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
24,200,0.02,"Fixed point linearization","fix","gamma",1.18791371995083,1.5
24,200,0.02,"Fixed point linearization","fix","beta",0.183511682466099,1.4
24,200,0.02,"Fixed point linearization","fix","sigma[1]",0.335830141642156,0.3
24,200,0.02,"Fixed point linearization","fix","sigma[2]",0.496013952060461,0.5
25,200,0.02,"Fixed point linearization","fix","epsilon",0.0543334937963984,0.1
25,200,0.02,"Fixed point linearization","fix","alpha",0.47109428017386,0.5
25,200,0.02,"Fixed point linearization","fix","gamma",1.01106915859126,1.5
25,200,0.02,"Fixed point linearization","fix","beta",-0.0131661881481202,1.4
25,200,0.02,"Fixed point linearization","fix","sigma[1]",0.33134145379967,0.3
25,200,0.02,"Fixed point linearization","fix","sigma[2]",0.45243804975076,0.5
26,200,0.02,"Fixed point linearization","fix","epsilon",0.0531152994480969,0.1
26,200,0.02,"Fixed point linearization","fix","alpha",0.513445468564492,0.5
26,200,0.02,"Fixed point linearization","fix","gamma",2.15521823789105,1.5
26,200,0.02,"Fixed point linearization","fix","beta",-0.516966410972784,1.4
26,200,0.02,"Fixed point linearization","fix","sigma[1]",0.302972218661449,0.3
26,200,0.02,"Fixed point linearization","fix","sigma[2]",0.577067587226985,0.5
27,200,0.02,"Fixed point linearization","fix","epsilon",0.0503176138814304,0.1
27,200,0.02,"Fixed point linearization","fix","alpha",0.507002755188723,0.5
27,200,0.02,"Fixed point linearization","fix","gamma",1.33993710779301,1.5
27,200,0.02,"Fixed point linearization","fix","beta",0.100434149937287,1.4
27,200,0.02,"Fixed point linearization","fix","sigma[1]",0.319135746294466,0.3
27,200,0.02,"Fixed point linearization","fix","sigma[2]",0.497395179351205,0.5
28,200,0.02,"Fixed point linearization","fix","epsilon",0.0523815248129328,0.1
28,200,0.02,"Fixed point linearization","fix","alpha",0.503051949913533,0.5
28,200,0.02,"Fixed point linearization","fix","gamma",1.24267914104966,1.5
28,200,0.02,"Fixed point linearization","fix","beta",0.149714314538019,1.4
28,200,0.02,"Fixed point linearization","fix","sigma[1]",0.331774561298167,0.3
28,200,0.02,"Fixed point linearization","fix","sigma[2]",0.50856947769325,0.5
29,200,0.02,"Fixed point linearization","fix","epsilon",0.0510350272085607,0.1
29,200,0.02,"Fixed point linearization","fix","alpha",0.501051294618409,0.5
