"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
19,200,0.02,"Fixed point linearization","fix","beta",0.562788071349823,0.6
19,200,0.02,"Fixed point linearization","fix","sigma[1]",0.308737463971124,0.3
19,200,0.02,"Fixed point linearization","fix","sigma[2]",0.484243960802054,0.5
20,200,0.02,"Fixed point linearization","fix","epsilon",0.101325526675267,0.1
20,200,0.02,"Fixed point linearization","fix","alpha",0.50167575370519,0.5
20,200,0.02,"Fixed point linearization","fix","gamma",1.31139784882741,1.5
20,200,0.02,"Fixed point linearization","fix","beta",0.707274539232043,0.6
20,200,0.02,"Fixed point linearization","fix","sigma[1]",0.302206280749627,0.3
20,200,0.02,"Fixed point linearization","fix","sigma[2]",0.503933594029859,0.5
21,200,0.02,"Fixed point linearization","fix","epsilon",0.0983896288651605,0.1
21,200,0.02,"Fixed point linearization","fix","alpha",0.489167659838587,0.5
21,200,0.02,"Fixed point linearization","fix","gamma",1.25731628996497,1.5
21,200,0.02,"Fixed point linearization","fix","beta",0.74172513464521,0.6
21,200,0.02,"Fixed point linearization","fix","sigma[1]",0.300864190978327,0.3
21,200,0.02,"Fixed point linearization","fix","sigma[2]",0.51437953932049,0.5
22,200,0.02,"Fixed point linearization","fix","epsilon",0.0988778566667619,0.1
22,200,0.02,"Fixed point linearization","fix","alpha",0.496330462514429,0.5
22,200,0.02,"Fixed point linearization","fix","gamma",1.39958096614155,1.5
22,200,0.02,"Fixed point linearization","fix","beta",0.818731586714612,0.6
22,200,0.02,"Fixed point linearization","fix","sigma[1]",0.305775389405541,0.3
22,200,0.02,"Fixed point linearization","fix","sigma[2]",0.502097612815848,0.5
23,200,0.02,"Fixed point linearization","fix","epsilon",0.103461697321009,0.1
23,200,0.02,"Fixed point linearization","fix","alpha",0.493229008872298,0.5
23,200,0.02,"Fixed point linearization","fix","gamma",1.17213994597095,1.5
23,200,0.02,"Fixed point linearization","fix","beta",0.727726780905317,0.6
23,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311377311759265,0.3
23,200,0.02,"Fixed point linearization","fix","sigma[2]",0.491594469541484,0.5
24,200,0.02,"Fixed point linearization","fix","epsilon",0.100541581188649,0.1
24,200,0.02,"Fixed point linearization","fix","alpha",0.503645444138115,0.5
24,200,0.02,"Fixed point linearization","fix","gamma",1.34099290582825,1.5
24,200,0.02,"Fixed point linearization","fix","beta",0.836790409597826,0.6
24,200,0.02,"Fixed point linearization","fix","sigma[1]",0.296718954595901,0.3
24,200,0.02,"Fixed point linearization","fix","sigma[2]",0.517882925422499,0.5
25,200,0.02,"Fixed point linearization","fix","epsilon",0.10188595314837,0.1
25,200,0.02,"Fixed point linearization","fix","alpha",0.487618070117809,0.5
25,200,0.02,"Fixed point linearization","fix","gamma",1.27870047964871,1.5
25,200,0.02,"Fixed point linearization","fix","beta",0.799823242238416,0.6
25,200,0.02,"Fixed point linearization","fix","sigma[1]",0.312162451746135,0.3
25,200,0.02,"Fixed point linearization","fix","sigma[2]",0.501214273937126,0.5
26,200,0.02,"Fixed point linearization","fix","epsilon",0.0988263858236329,0.1
26,200,0.02,"Fixed point linearization","fix","alpha",0.483683785018903,0.5
26,200,0.02,"Fixed point linearization","fix","gamma",1.33933470557755,1.5
26,200,0.02,"Fixed point linearization","fix","beta",0.689036755966624,0.6
26,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311002695692625,0.3
26,200,0.02,"Fixed point linearization","fix","sigma[2]",0.496875564901259,0.5
27,200,0.02,"Fixed point linearization","fix","epsilon",0.0989270830211035,0.1
27,200,0.02,"Fixed point linearization","fix","alpha",0.504079146393405,0.5
27,200,0.02,"Fixed point linearization","fix","gamma",1.50202998249212,1.5
27,200,0.02,"Fixed point linearization","fix","beta",0.705165098197474,0.6
27,200,0.02,"Fixed point linearization","fix","sigma[1]",0.3021637325859,0.3
27,200,0.02,"Fixed point linearization","fix","sigma[2]",0.506745517953155,0.5
28,200,0.02,"Fixed point linearization","fix","epsilon",0.0963707475837708,0.1
28,200,0.02,"Fixed point linearization","fix","alpha",0.503615266310475,0.5
28,200,0.02,"Fixed point linearization","fix","gamma",1.30962438212221,1.5
28,200,0.02,"Fixed point linearization","fix","beta",0.593803019071429,0.6
28,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311273562180312,0.3
28,200,0.02,"Fixed point linearization","fix","sigma[2]",0.50649806664421,0.5
29,200,0.02,"Fixed point linearization","fix","epsilon",0.0972215691055276,0.1
29,200,0.02,"Fixed point linearization","fix","alpha",0.506795284788712,0.5
29,200,0.02,"Fixed point linearization","fix","gamma",1.20339674462583,1.5
29,200,0.02,"Fixed point linearization","fix","beta",0.730468978601457,0.6
29,200,0.02,"Fixed point linearization","fix","sigma[1]",0.306273430219358,0.3
29,200,0.02,"Fixed point linearization","fix","sigma[2]",0.51067229508094,0.5
30,200,0.02,"Fixed point linearization","fix","epsilon",0.0974782819789678,0.1
30,200,0.02,"Fixed point linearization","fix","alpha",0.493761414734812,0.5
30,200,0.02,"Fixed point linearization","fix","gamma",1.3692906716136,1.5
30,200,0.02,"Fixed point linearization","fix","beta",0.634245803149219,0.6
30,200,0.02,"Fixed point linearization","fix","sigma[1]",0.306474928294299,0.3
30,200,0.02,"Fixed point linearization","fix","sigma[2]",0.48980771801929,0.5
31,200,0.02,"Fixed point linearization","fix","epsilon",0.100150463541196,0.1
31,200,0.02,"Fixed point linearization","fix","alpha",0.502140350585468,0.5
31,200,0.02,"Fixed point linearization","fix","gamma",1.61041799439767,1.5
31,200,0.02,"Fixed point linearization","fix","beta",0.402934511195052,0.6
31,200,0.02,"Fixed point linearization","fix","sigma[1]",0.310332186329936,0.3
31,200,0.02,"Fixed point linearization","fix","sigma[2]",0.49123337363411,0.5
32,200,0.02,"Fixed point linearization","fix","epsilon",0.0950428984102052,0.1
32,200,0.02,"Fixed point linearization","fix","alpha",0.487730201394585,0.5
32,200,0.02,"Fixed point linearization","fix","gamma",1.31816860286277,1.5
32,200,0.02,"Fixed point linearization","fix","beta",0.716613901326691,0.6
32,200,0.02,"Fixed point linearization","fix","sigma[1]",0.307991191497334,0.3
32,200,0.02,"Fixed point linearization","fix","sigma[2]",0.485850473048886,0.5
33,200,0.02,"Fixed point linearization","fix","epsilon",0.0997339836970177,0.1
33,200,0.02,"Fixed point linearization","fix","alpha",0.485367380474413,0.5
33,200,0.02,"Fixed point linearization","fix","gamma",1.32142701073699,1.5
33,200,0.02,"Fixed point linearization","fix","beta",0.68164693993069,0.6
33,200,0.02,"Fixed point linearization","fix","sigma[1]",0.312940180113201,0.3
