"path","ratio","sub_h","method","parameter","estimate","truth"
58,100,0.01,"random","sigma",1.67602844161819,1.7
59,100,0.01,"random","epsilon",0.0956129260062355,0.1
59,100,0.01,"random","y",-0.0625325569109449,-0.05
59,100,0.01,"random","sigma",1.71588707976329,1.7
60,100,0.01,"random","epsilon",0.0976691442094983,0.1
60,100,0.01,"random","y",-0.0468464770563884,-0.05
60,100,0.01,"random","sigma",1.7048777633938,1.7
61,100,0.01,"random","epsilon",0.116686183637143,0.1
61,100,0.01,"random","y",-0.0575466686928952,-0.05
61,100,0.01,"random","sigma",1.68572551837977,1.7
62,100,0.01,"random","epsilon",0.10515796812371,0.1
62,100,0.01,"random","y",-0.0297117353210166,-0.05
62,100,0.01,"random","sigma",1.66522022023298,1.7
63,100,0.01,"random","epsilon",0.0985858647335484,0.1
63,100,0.01,"random","y",-0.0937609511814364,-0.05
63,100,0.01,"random","sigma",1.69018409029142,1.7
64,100,0.01,"random","epsilon",0.0983525910590271,0.1
64,100,0.01,"random","y",-0.0829681448262636,-0.05
64,100,0.01,"random","sigma",1.67197430308755,1.7
65,100,0.01,"random","epsilon",0.0997086028732883,0.1
65,100,0.01,"random","y",-0.018525344879068,-0.05
65,100,0.01,"random","sigma",1.67484544185769,1.7
66,100,0.01,"random","epsilon",0.09215039984067,0.1
66,100,0.01,"random","y",-0.0301799934515067,-0.05
66,100,0.01,"random","sigma",1.74943032176791,1.7
67,100,0.01,"random","epsilon",0.121480172951645,0.1
67,100,0.01,"random","y",-0.284292623468244,-0.05
67,100,0.01,"random","sigma",1.69725095376452,1.7
68,100,0.01,"random","epsilon",0.103336556794307,0.1
68,100,0.01,"random","y",-0.0268102742160454,-0.05
68,100,0.01,"random","sigma",1.64027381735854,1.7
69,100,0.01,"random","epsilon",0.111000047521859,0.1
69,100,0.01,"random","y",-0.073794482618062,-0.05
69,100,0.01,"random","sigma",1.68377241093503,1.7
70,100,0.01,"random","epsilon",0.109214931737092,0.1
70,100,0.01,"random","y",0.0415506351341424,-0.05
70,100,0.01,"random","sigma",1.6589089053001,1.7
71,100,0.01,"random","epsilon",0.0981000058822615,0.1
71,100,0.01,"random","y",-0.0463669599765656,-0.05
71,100,0.01,"random","sigma",1.68692178607277,1.7
72,100,0.01,"random","epsilon",0.113067505151265,0.1
72,100,0.01,"random","y",-0.0666370077691351,-0.05
72,100,0.01,"random","sigma",1.68399317718747,1.7
73,100,0.01,"random","epsilon",0.101518467873131,0.1
